date,usd_krw
2018-02-14,1083.77001953125
2018-02-15,1070.010009765625
2018-02-16,1063.0699462890625
2018-02-19,1065.6300048828125
2018-02-20,1066.7099609375
2018-02-21,1072.5400390625
2018-02-22,1074.8599853515625
2018-02-23,1080.0799560546875
2018-02-26,1075.0
2018-02-27,1069.699951171875
2018-02-28,1079.3900146484375
2018-03-01,1085.3499755859375
2018-03-02,1081.949951171875
2018-03-05,1079.2099609375
2018-03-06,1076.6600341796875
2018-03-07,1063.1600341796875
2018-03-08,1066.1500244140625
2018-03-09,1073.4599609375
2018-03-12,1064.050048828125
2018-03-13,1063.8599853515625
2018-03-14,1066.4000244140625
2018-03-15,1062.550048828125
2018-03-16,1068.75
2018-03-19,1070.2099609375
2018-03-20,1072.1600341796875
2018-03-21,1070.550048828125
2018-03-22,1063.9599609375
2018-03-23,1079.9000244140625
2018-03-25,1082.530029296875
2018-03-26,1074.300048828125
2018-03-27,1074.1199951171875
2018-03-28,1063.4100341796875
2018-03-29,1062.0
2018-04-01,1060.989990234375
2018-04-02,1056.1600341796875
2018-04-03,1053.72998046875
2018-04-04,1057.4300537109375
2018-04-05,1061.6400146484375
2018-04-08,1070.4599609375
2018-04-09,1068.77001953125
2018-04-10,1063.3800048828125
2018-04-11,1065.75
2018-04-12,1069.97998046875
2018-04-15,1070.6600341796875
2018-04-16,1069.52001953125
2018-04-17,1066.0899658203125
2018-04-18,1064.0699462890625
2018-04-19,1066.239990234375
2018-04-22,1071.4100341796875
2018-04-23,1080.1800537109375
2018-04-24,1076.75
2018-04-25,1081.1700439453125
2018-04-26,1076.7900390625
2018-04-29,1067.5999755859375
2018-04-30,1069.449951171875
2018-05-01,1072.52001953125
2018-05-02,1078.81005859375
2018-05-03,1074.1199951171875
2018-05-06,1073.3299560546875
2018-05-07,1078.3900146484375
2018-05-08,1077.56005859375
2018-05-09,1077.97998046875
2018-05-10,1064.3699951171875
2018-05-13,1065.949951171875
2018-05-14,1069.1600341796875
2018-05-15,1078.8599853515625
2018-05-16,1076.489990234375
2018-05-17,1080.9100341796875
2018-05-20,1080.510009765625
2018-05-21,1076.510009765625
2018-05-22,1074.199951171875
2018-05-23,1074.7900390625
2018-05-24,1079.22998046875
2018-05-27,1073.6500244140625
2018-05-28,1073.1700439453125
2018-05-29,1083.9300537109375
2018-05-30,1075.030029296875
2018-05-31,1079.949951171875
