ticker,feature_set,feature,pearson_corr_train,abs_pearson_corr_train
005930,macro_alpha,sox_lag3,-0.06443730197365703,0.06443730197365703
005930,macro_alpha,vix_lag5,0.06298686178969945,0.06298686178969945
005930,macro_alpha,vix_lag1,0.05849933796993199,0.05849933796993199
005930,macro_alpha,vix_lag3,0.05751796419771061,0.05751796419771061
005930,macro_alpha,foreign_net_buy_5d_sum,-0.055236135302759934,0.055236135302759934
005930,macro_alpha,vix,0.053893329829878565,0.053893329829878565
005930,macro_alpha,nasdaq,-0.04754463440991782,0.04754463440991782
005930,macro_alpha,institution_net_buy,0.046721689097176784,0.046721689097176784
005930,macro_alpha,nasdaq_lag5,-0.046542612205978766,0.046542612205978766
005930,macro_alpha,nasdaq_lag1,-0.046289383609677846,0.046289383609677846
005930,macro_alpha,nasdaq_lag3,-0.04536761964461827,0.04536761964461827
005930,macro_alpha,foreign_net_buy_20d_sum,-0.04351733798965489,0.04351733798965489
005930,macro_alpha,return_pct,-0.04118511930875233,0.04118511930875233
005930,macro_alpha,kospi200_return_3d,-0.0396509591232986,0.0396509591232986
005930,macro_alpha,usd_krw,0.0392686890274821,0.0392686890274821
005930,macro_alpha,foreign_net_buy_20d_to_trading_value_20d,-0.03814363341173337,0.03814363341173337
005930,macro_alpha,usd_krw_lag1,0.03744972375275887,0.03744972375275887
005930,macro_alpha,kospi200_return_1d,-0.036739486553876065,0.036739486553876065
005930,macro_alpha,foreign_net_buy_5d_to_trading_value_5d,-0.03573385968330912,0.03573385968330912
005930,macro_alpha,usd_krw_lag3,0.035682920008650705,0.035682920008650705
005930,macro_alpha,usd_krw_return_1d,0.03337217862846651,0.03337217862846651
005930,macro_alpha,kospi_return_1d,-0.0311953063026213,0.0311953063026213
005930,macro_alpha,foreign_net_buy,-0.030826232144452424,0.030826232144452424
005930,macro_alpha,stock_vs_kospi_return_1d,-0.02957728950146454,0.02957728950146454
005930,macro_alpha,kospi_return_3d,-0.02861521189561032,0.02861521189561032
005930,macro_alpha,usd_krw_lag5,0.028227494210902794,0.028227494210902794
005930,macro_alpha,vix_change_3d,-0.025033403382359078,0.025033403382359078
005930,macro_alpha,stock_vs_kospi200_return_1d,-0.024371981730953146,0.024371981730953146
005930,macro_alpha,institution_net_buy_20d_to_trading_value_20d,0.022889678611809603,0.022889678611809603
005930,macro_alpha,nasdaq_return_1d,-0.021655101914242192,0.021655101914242192
005930,macro_alpha,foreign_net_buy_to_volume,-0.018086684419221913,0.018086684419221913
005930,macro_alpha,institution_net_buy_5d_to_trading_value_5d,0.017953411139502065,0.017953411139502065
005930,macro_alpha,sox_return_1d,-0.017795691876942694,0.017795691876942694
005930,macro_alpha,us_rate_lag3,0.0169345887663544,0.0169345887663544
005930,macro_alpha,foreign_net_buy_to_trading_value,-0.016082079862003044,0.016082079862003044
005930,macro_alpha,sox_return_3d,-0.012754612751634642,0.012754612751634642
005930,macro_alpha,usd_krw_return_3d,0.009679078998539477,0.009679078998539477
005930,macro_alpha,nasdaq_return_3d,-0.00930202704453414,0.00930202704453414
005930,macro_alpha,vix_change_1d,-0.00852103940409112,0.00852103940409112
005930,macro_alpha,us_rate_lag5,0.008038545820651333,0.008038545820651333
005930,macro_alpha,us_rate_lag1,0.007623623447594421,0.007623623447594421
005930,macro_alpha,institution_net_buy_to_volume,0.005643552006716971,0.005643552006716971
005930,macro_alpha,us_rate,0.003439247483581431,0.003439247483581431
005930,macro_alpha,institution_net_buy_to_trading_value,0.0017184338660393413,0.0017184338660393413
005930,macro_alpha,volume,0.0002605670813049292,0.0002605670813049292
